Epoch;accuracy;precision;sensitivity;specifity;f1score
0;0,9232600000000002;0,6391188807415695;0,6115269342179384;0,9572884815854336;0,6094363167611413
1;0,93232;0,6802430861421509;0,6584661129389102;0,9623665201174191;0,660098331460744
2;0,9229600000000001;0,64467949761319;0,6106161857763344;0,9571088250484548;0,6123628752184638
3;0,9341999999999999;0,6888122021533022;0,6686278528920881;0,9634020935879672;0,6679464099466509
4;0,93536;0,6953388944796479;0,6743399284971084;0,964076403798771;0,6765965178383
5;0,9364199999999998;0,7036109822646097;0,6798099187005213;0,9646700566010444;0,6816009085159239
6;0,93688;0,7099032425333871;0,6814772249624883;0,9649326242425186;0,6844553479442089
7;0,93646;0,6968655931713584;0,6792958511400837;0,9646734938572171;0,6815094983053331
8;0,93876;0,7105555040043863;0,6907282059477982;0,9659667709059188;0,6923201787367049
9;0,94076;0,7211209265087578;0,700605536445452;0,9670686251075462;0,7037415646549751
