Epoch;accuracy;precision;sensitivity;specifity;f1score
0;0,92982;0,6481891644984408;0,6465309385420539;0,9610108067759168;0,6442972913732895
1;0,94076;0,708736727860242;0,7020070194489636;0,9671040656010197;0,7001589076380461
2;0,94154;0,713281668314289;0,7050333812720091;0,967499957303884;0,7037671213860611
3;0,9444199999999998;0,7232147836742044;0,7204754322661518;0,9691232018223985;0,7178861245808144
4;0,94594;0,7330035795023809;0,7285505458396943;0,9699750305226724;0,7262795921271549
5;0,94818;0,7423118353316877;0,7387432435458321;0,9711886216725775;0,7372195192235742
6;0,94856;0,7479979065442716;0,7395955284933798;0,9713943363212462;0,7389511203368146
7;0,95008;0,7535896702226499;0,7481720117457241;0,9722413783830193;0,7477154922086989
8;0,9502200000000002;0,7553625363384289;0,7490190962338318;0,9723349378177819;0,7476664659584574
9;0,9511799999999999;0,7558690919169445;0,753847915698181;0,9728579420988774;0,7532520014318191
