Epoch;accuracy;precision;sensitivity;specifity;f1score
0;0,9584400000000001;0,8012603901003639;0,7903862868926071;0,9768910572561827;0,7912985418845564
1;0,96534;0,8329343866439902;0,8251856398068123;0,9807359417306609;0,8256108173734027
2;0,96896;0,85106040091332;0,8432767036382085;0,9827396463036863;0,8435922436077256
3;0,9715999999999999;0,8639226451191234;0,8566093658720633;0,9842057403673603;0,857418186758478
4;0,97312;0,8663620137234224;0,8648240878165927;0,9850688800119425;0,8647933216901326
5;0,97342;0,8692989236231776;0,8664717941359777;0,9852433700543675;0,8658981297611206
6;0,97446;0,8768638255524444;0,8717212817420416;0,985808373917636;0,8722691549011771
7;0,9730199999999998;0,8706639473466721;0,863724448071728;0,9850089065519075;0,8643792199391467
8;0,9747999999999999;0,8763745416662548;0,8733775343153859;0,9860145603626913;0,8726255171553541
9;0,9740400000000001;0,8751429992152145;0,8694831537792533;0,9855767583619602;0,8700492267261696
