Epoch;accuracy;precision;sensitivity;specifity;f1score
0;0,8948;0,4872237875258044;0,46469051152281315;0,941511786708474;0,41649355660794524
1;0,9810200000000002;0,9062134752750151;0,9050795017587365;0,9894684627278213;0,9045590245154507
2;0,98948;0,9472711468057516;0,9473684530048597;0,9941566932152524;0,947115378256252
3;0,9932000000000001;0,9659822837716583;0,9658577624574269;0,9962239599332587;0,9658009150521074
4;0,99376;0,9687531311760356;0,9685165150540647;0,9965352041412512;0,968546447274829
